代码,total_weight,total_weight_pct,appear_in,159338成分股,159691成分股,159801成分股,159841成分股,159850成分股,510050成分股,510300成分股,512690成分股,512760成分股,513600成分股,513980成分股,515790成分股
600096.SH,0.00013342629251474584,0.0133,1,0.0016011155101769501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002273.SZ,0.00013332868732636666,0.0133,1,0.0015999442479164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300676.SZ,0.00013157179393553584,0.0132,1,0.00157886152722643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002456.SZ,0.00013069334724012083,0.0131,1,0.00156832016688145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002294.SZ,0.0001306445446459308,0.0131,1,0.0015677345357511699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600392.SH,0.0001274723760235975,0.0127,1,0.00152966851228317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002131.SZ,0.00012715515916136415,0.0127,1,0.0015258619099363698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000423.SZ,0.00012647192284270833,0.0126,1,0.0015176630741125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002340.SZ,0.0001257154826327675,0.0126,1,0.00150858579159321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000733.SZ,0.00012439781258964417,0.0124,1,0.00149277375107573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002311.SZ,0.00012372846957676333,0.0124,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00148474163492116,0.0,0.0,0.0,0.0,0.0
600803.SH,0.00012216801614609425,0.0122,2,0.0005493220001996999,0.0,0.0,0.0,0.0,0.0,0.000916694193553431,0.0,0.0,0.0,0.0,0.0
300207.SZ,0.00012107923618474167,0.0121,1,0.0014529508342169001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300073.SZ,0.000119590757061955,0.012,1,0.00143508908474346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601238.SH,0.0001195401093504224,0.012,2,0.0006790392955560259,0.0,0.0,0.0,0.0,0.0,0.0007554420166490431,0.0,0.0,0.0,0.0,0.0
600332.SH,0.00011911013979452032,0.0119,2,0.0007791822188333699,0.0,0.0,0.0,0.0,0.0,0.0006501394587008739,0.0,0.0,0.0,0.0,0.0
